

    0.100652169135689266E-98    0.477565582275390625E+03    0.150020392782395042E+02    0.652655991479242488E+02    0.346575971931632587E+01    0.348314376697620276E+00    0.863134991974339130E+02    0.836260568034575300E+02    0.211441557608960551E+01    0.295727904765592742E+01    0.141492987896252179E-02
    0.108216472251900999E-98    0.477416656494140625E+03    0.626576451412985733E+02    0.491521143514704235E+02    0.926014621879425981E+01    0.146639532751289869E+01    0.609505162758045955E+02    0.323023276581129650E+02    0.125093850815799534E+01    0.107915519106208868E+01    0.137003515102517557E-02
    0.136877631930761676E-98    0.476942749023437500E+03    0.489816906443327227E+02    0.352884993779680798E+02    0.116113901757913531E+02    0.272934364157290688E+01    0.211621956010801888E+02    0.112619963675364012E+02    0.570787597921003975E+00    0.197033444117451606E+01    0.723073159806373179E-03
    0.141699472332449925E-98    0.476869506835937500E+03    0.439737502822199815E+02    0.264133805707610207E+02    0.656028860841548855E+01    0.102089186398602894E+01    0.112950406686462102E+03    0.836206062463261190E+02    0.181189576264834873E+01    0.477269511908443134E+00    0.407214443500222422E-03
    0.144003249351158985E-98    0.476833251953125000E+03    0.451989137265998977E+02    0.849891968641460096E+02    0.333537689828935502E+01    0.513346332595325583E+00    0.999754897495603387E+02    0.837285165316195616E+02    0.186830434004942791E+01    0.432543561488177097E+01    0.153572797104110058E-02
    0.154287809486951066E-98    0.476691284179687500E+03    0.194851413679226404E+02    0.795584189632073588E+02    0.131585279731914433E+02    0.164625338100606933E+01    0.629197213840754799E+02    0.779019435258404371E+02    0.192988201868996967E+01    0.333787374586821795E+01    0.176808651865098467E-02
    0.155106728689208270E-98    0.476676696777343750E+03    0.589634850478710320E+02    0.758088710327579491E+02    0.124793625792643397E+02    0.248653760986207484E+01    0.122828501448210872E+03    0.799181287429911293E+02    0.153736898878758854E+01    0.201215992960906398E+01    0.503587203328668357E-03
    0.175129646728745888E-98    0.476429870605468750E+03    0.672632022271748724E+02    0.542382665852340082E+02    0.663356499006736566E+01    0.138844320976349800E+01    0.120664805033833616E+03    0.708422679302280613E+02    0.168035745095700673E+01    0.209780702653140461E+01    0.579873944443531366E-03
    0.237188434434928012E-98    0.475819213867187500E+03    0.306793887779615986E+02    0.615829144346982105E+02    0.138967135970276505E+02    0.203413485606374178E+00    0.294377256932451914E+02    0.720679503735312181E+02    0.294691341074490243E+01    0.400728024590635012E+01    0.157182003524862133E-02
    0.274287963344735653E-98    0.475524566650390625E+03    0.660739775567930394E+02    0.179446343197362452E+02    0.895524371274678899E+01    0.240217638340222805E+01    0.947615393819447576E+02    0.387443028633791116E+02    0.123859137852295476E+01    0.532877089429049322E+00    0.133864319240929730E-02
