    0.258694788813591003E+02    0.184224998950958252E+02    0.109353634119033813E+02    0.288453090190887451E+01    0.138022066950798035E+03    0.436763995885848999E+02    0.299005329608917236E+01    0.291849374771118164E+01    0.141378971100937132E-02   -0.607915560000000000E+08   -0.621460743175560815E+01    1
    0.457010689377784729E+02    0.591504013538360596E+02    0.516331124305725098E+01    0.136113721132278442E+01    0.135931896865367889E+03    0.102638161182403564E+02    0.294629466533660889E+01    0.366181254386901855E+01    0.481298624792241231E-03   -0.312953820000000000E+08   -0.621660743175561681E+01    1
    0.444509750604629517E+02    0.737753376364707947E+02    0.147795201539993286E+02    0.597982406616210938E+00    0.129218233525753021E+03    0.108324766159057617E+02    0.293193590641021729E+01    0.430301785469055176E+01    0.166955002916373621E-02   -0.159720430000000000E+08   -0.621860743175561392E+01    1
    0.314285805821418762E+02    0.494963976740837097E+02    0.127634067535400391E+02    0.199561876058578491E+01    0.146707400679588318E+03    0.416664165258407593E+02    0.268206417560577393E+01    0.150572180747985840E+01    0.156867393385729101E-02   -0.114724600000000000E+08   -0.622060743175561814E+01    1
    0.252780947089195251E+02    0.661296263337135315E+02    0.635124814510345459E+01    0.238752937316894531E+01    0.633456429839134216E+02    0.644148963689804077E+02    0.294539773464202881E+01    0.245243072509765625E+01    0.277397805893460174E-03   -0.100921410000000000E+08   -0.622260743175562414E+01    1
    0.273832395672798157E+02    0.802628192305564880E+02    0.102877484560012817E+02    0.182560837268829346E+01    0.178493824601173401E+02    0.217599141597747803E+02    0.267284739017486572E+01    0.141458213329315186E+00    0.726813619522140384E-03   -0.990115700000000000E+07   -0.622460743175562925E+01    1
    0.414868682622909546E+02    0.339440044760704041E+02    0.342525911331176758E+01    0.249184834957122803E+01    0.348783186078071594E+02    0.278385883569717407E+02    0.277949702739715576E+01    0.448510706424713135E+01    0.859521099289679695E-03   -0.914254000000000000E+07   -0.622660743175562548E+01    1
    0.181006789207458496E+02    0.118267467617988586E+02    0.365173208713531494E+01    0.201931500434875488E+01    0.574079361557960510E+02    0.941709637641906738E+01    0.292508697509765625E+01    0.463704347610473633E+01    0.833617277682980815E-03   -0.744749550000000000E+07   -0.622860743175562526E+01    1
    0.307315480709075928E+02    0.118556082248687744E+02    0.136690474748611450E+02    0.372391283512115479E+00    0.717900794744491577E+02    0.131364887952804565E+02    0.236568868160247803E+01    0.110980868339538574E+00    0.500333964599774996E-03   -0.642558500000000000E+07   -0.623060743175562948E+01    1
    0.285616609454154968E+02    0.398638489842414856E+02    0.807542228698730469E+01    0.185527110099792480E+01    0.121403683722019196E+03    0.367469072341918945E+01    0.272402429580688477E+01    0.351951450109481812E+01    0.141946419253603990E-02   -0.613777300000000000E+07   -0.623260743175562393E+01    1
    0.522056129574775696E+02    0.244972008466720581E+02    0.330830466747283936E+01    0.115102761983871460E+01    0.137742476463317871E+03    0.259343487024307251E+02    0.258347582817077637E+01    0.284686267375946045E+01    0.191151163330631718E-02   -0.574973200000000000E+07   -0.623460743175563081E+01    1
    0.521553540229797363E+02    0.519800576567649841E+02    0.118069996833801270E+02    0.297361618280410767E+01    0.138827278912067413E+03    0.921342551708221436E+01    0.298614335060119629E+01    0.317976653575897217E+01    0.364106353637492120E-03   -0.574658800000000000E+07   -0.623660743175562082E+01    1
    0.250577074289321899E+02    0.550614297389984131E+01    0.335345506668090820E+01    0.165492171049118042E+01    0.824074396491050720E+02    0.693560135364532471E+02    0.268940699100494385E+01    0.171316623687744141E+01    0.135084756225963172E-02   -0.407283650000000000E+07   -0.623860743175562416E+01    1
